#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"Dünya Hain","Batuflex",61,145,"turkish hip hop, turkish trap","Hip Hop","Dünya Hain",2021-06-25,02:25,76,55,68,0,31,0,10,-10,A Major,4,2021-12-05,0qNeSaQsn2MzBppf6T8GdR,"Batuflex",11B,https://p.scdn.co/mp3-preview/9deeabe2cfd04a088813f6d3fa72842dc808d7ea?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851229426a758f02a77f6bc1d3d
2,"KISKANMA","Sdrk",0,105,"new school turkce rap","Hip Hop","KISKANMA",2021-07-30,01:36,95,50,5,0,63,10,10,-11,A Major,4,2021-12-05,3aBWFcUEAXHaBFbrMFtc1u,"Wovie",11B,,https://i.scdn.co/image/ab67616d00004851c40ec25a2bb337650bccd217
3,"Olabilir","MERO",0,140,"german hip hop","Hip Hop","UNIKAT",2019-09-27,03:30,75,78,30,0,78,0,10,-7,F#/G♭ Major,4,2021-12-05,3atDfMSYYjnC6R90eijbvf,"Groove Attack TraX",2B,,https://i.scdn.co/image/ab67616d00004851708ab5c2c1d0214366f57c04
4,"Baba","Ayaz Erdoğan,Mengelez",0,137,"turkish trap pop, ","Pop","Baba",2021-01-29,03:35,81,57,68,1,55,0,10,-9,A#/B♭ Minor,4,2021-12-05,4WVOnhv2a3vvBAzHbmdGHW,"Musixon",3A,,https://i.scdn.co/image/ab67616d00004851156a3fd5d7519714ebfa2cb2
5,"BENIM HAYALLER","Luciano,Ezhel",58,101,"german drill, german hip hop, turkish hip hop, turkish trap","Latin, Hip Hop","AQUA",2021-07-01,03:02,84,60,46,0,43,10,10,-7,C Minor,4,2021-12-05,6UhWOBZVHsuZHKJpQJYeWW,"URBAN",5A,,https://i.scdn.co/image/ab67616d000048519f04dab055abfe4f1efdae0c
6,"Step By Step","Sleepy Chows,Antomage,Bromage",44,100,"","","Step By Step",2021-03-05,02:16,93,86,8,0,81,20,30,-6,A#/B♭ Minor,4,2021-12-05,5I0g6XeCs2OnI1oOCvkTge,"Soave Records",3A,https://p.scdn.co/mp3-preview/2db920af2e4ad4b1c57998fbb08230e8a0ada94d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518c46036a54ce24703da097cc
7,"Ni**as In Paris","JAY-Z,Kanye West",44,140,"east coast hip hop, gangster rap, hip hop, pop rap, rap, chicago rap","Hip Hop","Watch The Throne (Deluxe)",2011-08-08,03:39,79,86,13,0,78,30,30,-6,C♯/D♭ Major,4,2021-12-05,4Li2WHPkuyCdtmokzW2007,"Roc Nation/RocAFella/IDJ",3B,,https://i.scdn.co/image/ab67616d000048515c837cc621c1ec82bf3c81ac
8,"LE CANE","Muti,UZI,Critical,Heijan",62,139,"turkce drill, turkish hip hop, turkish trap, new school turkce rap","Hip Hop","LE CANE",2021-07-16,04:16,80,84,28,0,69,20,30,-5,B Minor,4,2021-12-05,03S0moTUyxwtznCNWOreb4,"Ava Music",10A,https://p.scdn.co/mp3-preview/cb41cc52dd6e144298f2de9417200e5aa9a57b13?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d7abe44151a87f1bb075dd25
9,"Krvn","UZI",62,115,"turkish hip hop, turkish trap","Hip Hop","Kan",2021-03-19,02:51,97,58,14,0,19,0,10,-6,G#/A♭ Major,4,2021-12-05,4a1WLOoydq7u011UG9jjC9,"M.O.B. Entertainment",4B,https://p.scdn.co/mp3-preview/c595da41713f76fe3935b4314acda5b4b54a82c2?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485167c738a703dc979f5c3c52ef
10,"Enayi","Muti,Heijan",0,120,"turkce drill, turkish hip hop","Hip Hop","AFROdizyak",2020-07-03,02:21,91,73,9,0,45,20,0,-4,G Major,4,2021-12-05,7jIPQlsAiZagTOoikeMt5W,"ILS Music",9B,,https://i.scdn.co/image/ab67616d00004851b1ad09cb0111078671882f2d
11,"Yalan","Reynmen,Zeynep Bastık,Arem Ozguc,Arman Aydin",61,92,"turkish hip hop, turkish pop, turkish edm","Electronic, Hip Hop, Pop","Yalan",2021-09-24,02:44,69,62,5,0,11,0,10,-5,C♯/D♭ Minor,4,2021-12-05,2coKk2gtpeK86rFNEtYjzP,"Houze Istanbul",12A,https://p.scdn.co/mp3-preview/7e74df78b33f062fb01b9538af5f3cd81c0fc453?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510ce32c4fbb5677206402f6ac
12,"Rampapa","KADR,HEDIYE",48,107,"turkish trap pop, ","Pop","Rampapa",2020-07-17,02:21,86,69,42,0,70,0,10,-5,G Minor,4,2021-12-05,271A68PJ3tTh3iqZ5rqp0Y,"Embassy of Music",6A,https://p.scdn.co/mp3-preview/862412767090b58c076a128cfabec26fd70f90ca?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851082a85c51e480974cc8e38eb
13,"Hayrola","Artz,Bugy,Ezhel",61,151,"turkish hip hop, turkish trap","Hip Hop","Hayrola",2021-10-22,03:37,79,63,3,0,55,10,30,-8,G#/A♭ Minor,4,2021-12-05,7HgEjJCh0hQ0GO7PjQvEF3,"Koal Arts GmbH",1A,https://p.scdn.co/mp3-preview/65cb70f61e4c94860bd114836d2077c97b16de23?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851cbd08db41ec858a0b9b31a5b
14,"Şampanya","Ceg",55,117,"turkish hip hop, turkish trap","Hip Hop","Şampanya",2019-07-19,04:13,87,63,42,0,46,0,10,-8,F Minor,4,2021-12-05,3flurnTXJlSjMa9yj2uvY0,"Whitechapel Müzik Organizasyon Ticaret Limited",4A,https://p.scdn.co/mp3-preview/9439f01c0c808de700794081cb34d105b0e3889b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513a499c0184831d3f3e7188c1
15,"Pare","Reynmen",52,106,"turkish hip hop, turkish pop","Hip Hop, Pop","Pare",2021-11-12,02:54,72,57,25,0,34,0,10,-9,C Major,4,2021-12-05,1qv3dJD70eC9mnIZnofWwP,"Houze Istanbul",8B,https://p.scdn.co/mp3-preview/868d34da140947fb53d082bf63141c9d2fcd6b4c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485194e7897e26153e8d8bce8cff
16,"10 NUMARA","Lvbel C5",66,142,"turkce drill, turkish hip hop, turkish trap","Hip Hop","10 NUMARA",2021-10-15,01:58,68,65,1,0,65,10,0,-10,B Major,4,2021-12-05,6GDpxEOvaXS0nbqSrFtDAQ,"EMI - Kent Elektronik Sanayi ve Ticaret A.S.",1B,,https://i.scdn.co/image/ab67616d000048518c086a20bb5af858228e0fa2
